Rank,Name,Final score,Country,Industry
1,Skanska,100,Sweden,Construction
2,Microsoft,99.85,Ireland,"IT, Internet, Software and Services"
3,Airbus,97.78,France,"Aerospace, Defence, Manufacture of Transport Equipment"
4,Naval Group,97.12,France,"Aerospace, Defence, Manufacture of Transport Equipment"
5,Google,96.07,Ireland,"IT, Internet, Software and Services"
6,Bionorica,94.75,Germany,Drugs and Biotechnology
7,Cisco,93.81,Netherlands,"IT, Internet, Software and Services"
8,Frosta,93.69,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
9,OneAdvanced,93.61,United Kingdom,"IT, Internet, Software and Services"
10,ArianeGroup,93.3,France,"Aerospace, Defence, Manufacture of Transport Equipment"
11,Samsung,93.04,United Kingdom,"Semiconductors, Electronics, Electrical Engineering, Hardware"
12,Wacker Chemie,92.75,Germany,"Oil and Gas Operations, Mining, and Chemicals"
13,Webasto,92.72,Germany,Automotive (Producers and Suppliers)
14,Zurich,92.4,Switzerland,Insurance
15,John Deere,92.29,Germany,Automotive (Producers and Suppliers)
16,Automobili Lamborghini,92.27,Italy,Automotive (Producers and Suppliers)
17,Andritz,92.25,Austria,"Engineering, Manufacturing"
18,Sennheiser,92.17,Germany,Packaged Goods
19,Safran Group,92.05,France,"Aerospace, Defence, Manufacture of Transport Equipment"
20,BBVA,91.68,Spain,Banking and Financial Services
21,TotalEnergies,91.59,France,"Oil and Gas Operations, Mining, and Chemicals"
22,Spie batignolles,91.37,France,Construction
23,Lilly,91.32,Ireland,Drugs and Biotechnology
24,Zeiss,91.3,Germany,Healthcare Equipment and Services
25,Legendre,91.14,France,Construction
26,Rolex,91.14,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
27,Lâ€™OrÃ©al,91.13,France,Packaged Goods
28,Thales Group,91.05,France,"Aerospace, Defence, Manufacture of Transport Equipment"
29,Informatica,91.01,Ireland,"IT, Internet, Software and Services"
30,BMW,90.96,Germany,Automotive (Producers and Suppliers)
31,SAP,90.9,Germany,"IT, Internet, Software and Services"
32,BÃ¼hler,90.77,Switzerland,"Engineering, Manufacturing"
33,SNF,90.74,France,Drugs and Biotechnology
34,Designer Group,90.74,Ireland,Construction
35,Legrand,90.67,France,"Semiconductors, Electronics, Electrical Engineering, Hardware"
36,Husqvarna,90.63,Sweden,"Semiconductors, Electronics, Electrical Engineering, Hardware"
37,Indeed,90.4,Ireland,"IT, Internet, Software and Services"
38,Zucchetti,90.25,Italy,"IT, Internet, Software and Services"
39,Carlsberg,90.23,Denmark,"Food, Soft Beverages, Alcohol and Tobacco"
40,GlaxoSmithKline,90.08,United Kingdom,Drugs and Biotechnology
41,NCC,90.03,Sweden,Construction
42,Victorinox,90,Switzerland,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
43,Boehringer Ingelheim,89.95,Germany,Drugs and Biotechnology
44,Procter & Gamble,89.89,Switzerland,Packaged Goods
45,Rolls-Royce,89.81,United Kingdom,"Aerospace, Defence, Manufacture of Transport Equipment"
46,Marriott International,89.79,Germany,Travel and Leisure
47,"Groupe Rocher (Yves Rocher, Petit Bateau)",89.65,France,Packaged Goods
48,Novo Nordisk,89.57,Denmark,Drugs and Biotechnology
49,IBM,89.54,Germany,"IT, Internet, Software and Services"
50,Gruppo Campari,89.39,Italy,"Food, Soft Beverages, Alcohol and Tobacco"
51,Chanel,89.24,United Kingdom,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
52,Roche,89.22,Switzerland,Drugs and Biotechnology
53,Apple,89.1,Ireland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
54,Dell Technologies,88.93,United Kingdom,"IT, Internet, Software and Services"
55,Avio Aero,88.81,Italy,"Aerospace, Defence, Manufacture of Transport Equipment"
56,Carey Glass,88.53,Ireland,"Manufacture and Processing of Materials, Metals and Paper"
57,River Island,88.45,United Kingdom,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
58,Nvidia,88.39,Germany,"IT, Internet, Software and Services"
59,Porsche,88.29,Germany,Automotive (Producers and Suppliers)
60,AMAC Aerospace,88.25,Switzerland,"Aerospace, Defence, Manufacture of Transport Equipment"
61,Eiffage Group,88.22,France,Construction
62,Asus,88.2,Netherlands,"Semiconductors, Electronics, Electrical Engineering, Hardware"
63,Telus Digital,88.13,Austria,"IT, Internet, Software and Services"
64,DM-Drogerie Markt,88.07,Germany,Retail
65,Fromageries Bel,88.06,France,"Food, Soft Beverages, Alcohol and Tobacco"
66,Volvo Car Group,87.78,Sweden,Automotive (Producers and Suppliers)
67,Dow,87.68,Switzerland,"Oil and Gas Operations, Mining, and Chemicals"
68,Aviva,87.64,United Kingdom,Insurance
69,Zoetis,87.63,Ireland,Drugs and Biotechnology
70,Novartis,87.57,Switzerland,Drugs and Biotechnology
71,Philips,87.56,Netherlands,Healthcare Equipment and Services
